Rk,Lineup,Man,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,J. Embiid | J. Redick | B. Simmons,3,271:06:00,1,-8.7,0.054,1.6,-3,0.07,0.068,8,9.6,0.016,11.6,-1.5,1.6,8.7,1.6,3.8,8,6.2,-2.4,0.8,3.9,-2.1
2,R. Covington | D. Saric | B. Simmons,3,235:59:00,-3.5,-9.2,0.004,-0.5,-3.2,0.015,0.007,4.8,6.9,-0.027,-2.8,1.1,3.7,3.9,3.7,2.6,5.4,-0.6,-2.7,0.4,4.8,-1.1
3,R. Covington | J. Embiid | B. Simmons,3,214:53:00,0.5,-7.5,0.041,-2.3,-7,-0.005,0.033,6.6,10.3,-0.058,5.3,0.1,3.5,6.9,3.5,3.7,7.6,3,-1.9,-0.5,3.6,-2.7
4,J. Embiid | D. Saric | B. Simmons,3,204:17:00,0.2,-5.8,0.028,-2,-5.6,-0.007,0.021,5.5,8.2,-0.044,3.9,1.6,5,5.3,5,3.7,7.5,1.8,-2,-1.1,2.8,-3
5,R. Covington | J. Redick | B. Simmons,3,164:58:00,0.2,-6.8,0.033,3,-1.8,0.101,0.053,5.1,7.2,-0.023,8.5,0.9,5.3,7.9,5.3,4.5,9.1,5.7,-2.1,-0.3,4.2,-0.1
6,J. Redick | D. Saric | B. Simmons,3,164:38:00,-2.6,-8.4,0.01,2.6,1.1,0.067,0.029,5.1,7.3,-0.034,2.5,1.7,5,4.4,5,3.4,7.1,2.3,-3.7,-0.2,5.6,-1
7,J. Embiid | M. Fultz | B. Simmons,3,110:47:00,1.1,-9.3,0.057,-5.6,-9.1,-0.091,0.032,4.6,7.6,-0.083,1.3,-2.6,-0.8,7,-0.8,2.1,4.5,-0.1,-0.4,0.4,2.1,-3.2
8,J. Embiid | L. Shamet | B. Simmons,3,104:43:00,-6.6,-10.9,-0.018,-3.6,0.7,-0.129,-0.032,11.9,17.1,-0.019,-5,-1.3,-2,1.1,-2,0,0,-0.2,-1.9,0.9,3.4,-5.8
9,R. Covington | M. Fultz | B. Simmons,3,95:22:00,2.8,-2,0.038,-6,-6.6,-0.137,0.007,2.9,4.9,-0.045,2.5,-0.6,0.4,2.7,0.4,1,1.9,-1.1,1,2,-1.1,-2.7
10,J. Butler | J. Embiid | B. Simmons,3,87:24:00,1.1,-3,0.029,-3.9,-10.6,0.003,0.009,8.8,13,-0.005,7.1,2.4,8.2,7.7,8.2,5.2,12,4.3,-1.8,1.7,1.9,-4.6
